tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
9472, 155, 50, 0.500000, 0.500000, 10, 100, 0.177812, 2.022644, 0.179012, 3.287106
9728, 155, 50, 0.500000, 0.500000, 10, 100, 0.173449, 2.008403, 0.174584, 3.266707
9984, 155, 50, 0.500000, 0.500000, 10, 100, 0.171877, 2.016255, 0.173078, 3.290701
10240, 155, 50, 0.500000, 0.500000, 10, 100, 0.166366, 2.013275, 0.167551, 3.287280
10496, 155, 50, 0.500000, 0.500000, 10, 100, 0.159200, 2.010174, 0.160354, 3.274704
10752, 155, 50, 0.500000, 0.500000, 10, 100, 0.159686, 2.027055, 0.160942, 3.301181
11008, 155, 50, 0.500000, 0.500000, 10, 100, 0.160368, 2.029776, 0.161498, 3.298900
11264, 155, 50, 0.500000, 0.500000, 10, 100, 0.151436, 2.022149, 0.152609, 3.286889
11520, 155, 50, 0.500000, 0.500000, 10, 100, 0.148355, 2.030415, 0.149462, 3.293913
11776, 155, 50, 0.500000, 0.500000, 10, 100, 0.151245, 2.043030, 0.152369, 3.311948
12032, 155, 50, 0.500000, 0.500000, 10, 100, 0.140278, 2.033500, 0.141562, 3.298632
12288, 155, 50, 0.500000, 0.500000, 10, 100, 0.145593, 2.048309, 0.146724, 3.316585
12544, 155, 50, 0.500000, 0.500000, 10, 100, 0.140379, 2.039239, 0.141524, 3.304254
12800, 155, 50, 0.500000, 0.500000, 10, 100, 0.136028, 2.036581, 0.137208, 3.303265
13056, 155, 50, 0.500000, 0.500000, 10, 100, 0.131944, 2.042587, 0.133093, 3.305577
13312, 155, 50, 0.500000, 0.500000, 10, 100, 0.136806, 2.047866, 0.138096, 3.319976
13568, 155, 50, 0.500000, 0.500000, 10, 100, 0.126533, 2.057295, 0.127823, 3.320916
13824, 155, 50, 0.500000, 0.500000, 10, 100, 0.130480, 2.050658, 0.131617, 3.317871
14080, 155, 50, 0.500000, 0.500000, 10, 100, 0.126162, 2.054684, 0.127398, 3.323382
14336, 155, 50, 0.500000, 0.500000, 10, 100, 0.123287, 2.044983, 0.124508, 3.311242
14592, 155, 50, 0.500000, 0.500000, 10, 100, 0.121136, 2.047493, 0.122292, 3.320327
14848, 155, 50, 0.500000, 0.500000, 10, 100, 0.116011, 2.061042, 0.117285, 3.329066
15104, 155, 50, 0.500000, 0.500000, 10, 100, 0.119064, 2.052211, 0.120410, 3.321400
15360, 155, 50, 0.500000, 0.500000, 10, 100, 0.116569, 2.064592, 0.117798, 3.326972
15616, 155, 50, 0.500000, 0.500000, 10, 100, 0.115705, 2.059684, 0.116973, 3.325530
15872, 155, 50, 0.500000, 0.500000, 10, 100, 0.115015, 2.071576, 0.116221, 3.337796
16128, 155, 50, 0.500000, 0.500000, 10, 100, 0.114039, 2.051566, 0.115313, 3.321000
16384, 155, 50, 0.500000, 0.500000, 10, 100, 0.112293, 2.064017, 0.113491, 3.328060
16640, 155, 50, 0.500000, 0.500000, 10, 100, 0.107134, 2.058575, 0.108323, 3.323851
16896, 155, 50, 0.500000, 0.500000, 10, 100, 0.106280, 2.058071, 0.107559, 3.329212
17152, 155, 50, 0.500000, 0.500000, 10, 100, 0.108206, 2.070339, 0.109431, 3.339793
17408, 155, 50, 0.500000, 0.500000, 10, 100, 0.106494, 2.078267, 0.107753, 3.345233
17664, 155, 50, 0.500000, 0.500000, 10, 100, 0.101534, 2.072317, 0.102682, 3.338117
17920, 155, 50, 0.500000, 0.500000, 10, 100, 0.105947, 2.066846, 0.107142, 3.329812
18176, 155, 50, 0.500000, 0.500000, 10, 100, 0.101327, 2.072441, 0.102552, 3.335357
18432, 155, 50, 0.500000, 0.500000, 10, 100, 0.096599, 2.077575, 0.097771, 3.342198
18688, 155, 50, 0.500000, 0.500000, 10, 100, 0.101538, 2.089165, 0.102710, 3.353392
18944, 155, 50, 0.500000, 0.500000, 10, 100, 0.100765, 2.076984, 0.101887, 3.344694
19200, 155, 50, 0.500000, 0.500000, 10, 100, 0.097175, 2.061072, 0.098389, 3.330465
19456, 155, 50, 0.500000, 0.500000, 10, 100, 0.096222, 2.052984, 0.097443, 3.317507
19712, 155, 50, 0.500000, 0.500000, 10, 100, 0.093930, 2.056952, 0.095138, 3.320424
19968, 155, 50, 0.500000, 0.500000, 10, 100, 0.093813, 2.083660, 0.095065, 3.351593
20224, 155, 50, 0.500000, 0.500000, 10, 100, 0.090900, 2.078614, 0.092031, 3.351414
20480, 155, 50, 0.500000, 0.500000, 10, 100, 0.096355, 2.088394, 0.097590, 3.355833
20736, 155, 50, 0.500000, 0.500000, 10, 100, 0.090277, 2.076606, 0.091469, 3.347744
20992, 155, 50, 0.500000, 0.500000, 10, 100, 0.087925, 2.071041, 0.089086, 3.340325
21248, 155, 50, 0.500000, 0.500000, 10, 100, 0.087466, 2.087278, 0.088634, 3.353273
21504, 155, 50, 0.500000, 0.500000, 10, 100, 0.087854, 2.092548, 0.089131, 3.366449
21760, 155, 50, 0.500000, 0.500000, 10, 100, 0.089111, 2.091691, 0.090340, 3.356917
22016, 155, 50, 0.500000, 0.500000, 10, 100, 0.086962, 2.093677, 0.088201, 3.359150
22272, 155, 50, 0.500000, 0.500000, 10, 100, 0.085287, 2.081645, 0.086393, 3.342497
22528, 155, 50, 0.500000, 0.500000, 10, 100, 0.085097, 2.079623, 0.086346, 3.346573
22784, 155, 50, 0.500000, 0.500000, 10, 100, 0.082380, 2.092012, 0.083543, 3.362843
23040, 155, 50, 0.500000, 0.500000, 10, 100, 0.082615, 2.076400, 0.083882, 3.345370
23296, 155, 50, 0.500000, 0.500000, 10, 100, 0.082379, 2.067400, 0.083548, 3.331853
23552, 155, 50, 0.500000, 0.500000, 10, 100, 0.083954, 2.085131, 0.085153, 3.355535
23808, 155, 50, 0.500000, 0.500000, 10, 100, 0.080327, 2.081260, 0.081574, 3.349375
24064, 155, 50, 0.500000, 0.500000, 10, 100, 0.083712, 2.093077, 0.084955, 3.360602
24320, 155, 50, 0.500000, 0.500000, 10, 100, 0.075172, 2.097895, 0.076316, 3.368396
24576, 155, 50, 0.500000, 0.500000, 10, 100, 0.079544, 2.094745, 0.080755, 3.363639
24832, 155, 50, 0.500000, 0.500000, 10, 100, 0.076055, 2.082835, 0.077213, 3.351558
25088, 155, 50, 0.500000, 0.500000, 10, 100, 0.076604, 2.070300, 0.077814, 3.336677
25344, 155, 50, 0.500000, 0.500000, 10, 100, 0.079197, 2.093182, 0.080439, 3.359970
25600, 155, 50, 0.500000, 0.500000, 10, 100, 0.074502, 2.081507, 0.075707, 3.350652
25856, 155, 50, 0.500000, 0.500000, 10, 100, 0.077018, 2.094523, 0.078140, 3.363264
26112, 155, 50, 0.500000, 0.500000, 10, 100, 0.073535, 2.103135, 0.074640, 3.374066
26368, 155, 50, 0.500000, 0.500000, 10, 100, 0.073267, 2.079035, 0.074550, 3.344261
26624, 155, 50, 0.500000, 0.500000, 10, 100, 0.073894, 2.090294, 0.075071, 3.355871
26880, 155, 50, 0.500000, 0.500000, 10, 100, 0.074511, 2.082280, 0.075694, 3.345992
27136, 155, 50, 0.500000, 0.500000, 10, 100, 0.072305, 2.098431, 0.073570, 3.367462
27392, 155, 50, 0.500000, 0.500000, 10, 100, 0.072455, 2.092062, 0.073678, 3.367726
27648, 155, 50, 0.500000, 0.500000, 10, 100, 0.070903, 2.093386, 0.072073, 3.360506
27904, 155, 50, 0.500000, 0.500000, 10, 100, 0.065316, 2.075978, 0.066589, 3.338186
28160, 155, 50, 0.500000, 0.500000, 10, 100, 0.071180, 2.110175, 0.072427, 3.380308
28416, 155, 50, 0.500000, 0.500000, 10, 100, 0.070110, 2.090988, 0.071278, 3.355218
28672, 155, 50, 0.500000, 0.500000, 10, 100, 0.069800, 2.098802, 0.070976, 3.368716
28928, 155, 50, 0.500000, 0.500000, 10, 100, 0.070060, 2.108823, 0.071270, 3.374633
29184, 155, 50, 0.500000, 0.500000, 10, 100, 0.067125, 2.095702, 0.068181, 3.366251
29440, 155, 50, 0.500000, 0.500000, 10, 100, 0.071520, 2.118358, 0.072687, 3.390939
29696, 155, 50, 0.500000, 0.500000, 10, 100, 0.069000, 2.096261, 0.070173, 3.363308
29952, 155, 50, 0.500000, 0.500000, 10, 100, 0.068750, 2.114768, 0.070064, 3.386579
30208, 155, 50, 0.500000, 0.500000, 10, 100, 0.064804, 2.098415, 0.066032, 3.368419
30464, 155, 50, 0.500000, 0.500000, 10, 100, 0.063830, 2.085341, 0.065022, 3.352042
30720, 155, 50, 0.500000, 0.500000, 10, 100, 0.067798, 2.101606, 0.069057, 3.369912
30976, 155, 50, 0.500000, 0.500000, 10, 100, 0.065290, 2.095259, 0.066500, 3.362339
31232, 155, 50, 0.500000, 0.500000, 10, 100, 0.067376, 2.112484, 0.068655, 3.379910
31488, 155, 50, 0.500000, 0.500000, 10, 100, 0.065908, 2.092850, 0.067032, 3.361358
31744, 155, 50, 0.500000, 0.500000, 10, 100, 0.064843, 2.099113, 0.065964, 3.363652
32000, 155, 50, 0.500000, 0.500000, 10, 100, 0.065449, 2.116567, 0.066662, 3.386170
32256, 155, 50, 0.500000, 0.500000, 10, 100, 0.060582, 2.098440, 0.061813, 3.361821
32512, 155, 50, 0.500000, 0.500000, 10, 100, 0.065980, 2.105847, 0.067132, 3.377801
32768, 155, 50, 0.500000, 0.500000, 10, 100, 0.062495, 2.109915, 0.063659, 3.376263
33024, 155, 50, 0.500000, 0.500000, 10, 100, 0.059412, 2.102173, 0.060624, 3.368700
33280, 155, 50, 0.500000, 0.500000, 10, 100, 0.062848, 2.095760, 0.064063, 3.358494
33536, 155, 50, 0.500000, 0.500000, 10, 100, 0.061664, 2.099753, 0.062825, 3.363966
33792, 155, 50, 0.500000, 0.500000, 10, 100, 0.060261, 2.107795, 0.061406, 3.370868
34048, 155, 50, 0.500000, 0.500000, 10, 100, 0.058616, 2.090150, 0.059748, 3.354644
34304, 155, 50, 0.500000, 0.500000, 10, 100, 0.058752, 2.101301, 0.059941, 3.366324
34560, 155, 50, 0.500000, 0.500000, 10, 100, 0.060191, 2.102135, 0.061448, 3.371177
34816, 155, 50, 0.500000, 0.500000, 10, 100, 0.058341, 2.102397, 0.059579, 3.367047
35072, 155, 50, 0.500000, 0.500000, 10, 100, 0.060333, 2.099257, 0.061564, 3.365394
35328, 155, 50, 0.500000, 0.500000, 10, 100, 0.056834, 2.107565, 0.058053, 3.379264
35584, 155, 50, 0.500000, 0.500000, 10, 100, 0.058828, 2.103420, 0.060061, 3.365331
35840, 155, 50, 0.500000, 0.500000, 10, 100, 0.058542, 2.101813, 0.059756, 3.370080
36096, 155, 50, 0.500000, 0.500000, 10, 100, 0.058972, 2.112917, 0.060197, 3.379533
36352, 155, 50, 0.500000, 0.500000, 10, 100, 0.056392, 2.101470, 0.057723, 3.368499
36608, 155, 50, 0.500000, 0.500000, 10, 100, 0.058043, 2.112511, 0.059231, 3.380398
36864, 155, 50, 0.500000, 0.500000, 10, 100, 0.058782, 2.107376, 0.060045, 3.375354
37120, 155, 50, 0.500000, 0.500000, 10, 100, 0.058197, 2.116569, 0.059334, 3.389901
37376, 155, 50, 0.500000, 0.500000, 10, 100, 0.056611, 2.115061, 0.057782, 3.384382
37632, 155, 50, 0.500000, 0.500000, 10, 100, 0.054414, 2.105144, 0.055697, 3.369259
37888, 155, 50, 0.500000, 0.500000, 10, 100, 0.056356, 2.126404, 0.057496, 3.395421
38144, 155, 50, 0.500000, 0.500000, 10, 100, 0.055797, 2.106289, 0.057014, 3.377820
38400, 155, 50, 0.500000, 0.500000, 10, 100, 0.056349, 2.112933, 0.057492, 3.383494
38656, 155, 50, 0.500000, 0.500000, 10, 100, 0.052241, 2.125578, 0.053364, 3.397812
38912, 155, 50, 0.500000, 0.500000, 10, 100, 0.053514, 2.105012, 0.054767, 3.371351
39168, 155, 50, 0.500000, 0.500000, 10, 100, 0.056667, 2.125211, 0.057872, 3.387454
39424, 155, 50, 0.500000, 0.500000, 10, 100, 0.054197, 2.114061, 0.055397, 3.385748
39680, 155, 50, 0.500000, 0.500000, 10, 100, 0.053450, 2.107996, 0.054724, 3.377760
39936, 155, 50, 0.500000, 0.500000, 10, 100, 0.054182, 2.106516, 0.055333, 3.369724
40192, 155, 50, 0.500000, 0.500000, 10, 100, 0.053917, 2.113713, 0.055044, 3.379163
40448, 155, 50, 0.500000, 0.500000, 10, 100, 0.055366, 2.117939, 0.056465, 3.385502
40704, 155, 50, 0.500000, 0.500000, 10, 100, 0.053957, 2.110210, 0.055094, 3.375741
40960, 155, 50, 0.500000, 0.500000, 10, 100, 0.051315, 2.085428, 0.052544, 3.343724
41216, 155, 50, 0.500000, 0.500000, 10, 100, 0.054954, 2.116740, 0.056127, 3.384652
41472, 155, 50, 0.500000, 0.500000, 10, 100, 0.053582, 2.118041, 0.054720, 3.389612
41728, 155, 50, 0.500000, 0.500000, 10, 100, 0.052224, 2.099733, 0.053329, 3.363855
41984, 155, 50, 0.500000, 0.500000, 10, 100, 0.052580, 2.118639, 0.053833, 3.387901
42240, 155, 50, 0.500000, 0.500000, 10, 100, 0.051031, 2.111168, 0.052225, 3.378973
42496, 155, 50, 0.500000, 0.500000, 10, 100, 0.050813, 2.113656, 0.051945, 3.386031
42752, 155, 50, 0.500000, 0.500000, 10, 100, 0.052691, 2.122680, 0.053832, 3.391050
43008, 155, 50, 0.500000, 0.500000, 10, 100, 0.049900, 2.104511, 0.051082, 3.374448
43264, 155, 50, 0.500000, 0.500000, 10, 100, 0.051071, 2.113202, 0.052250, 3.382456
43520, 155, 50, 0.500000, 0.500000, 10, 100, 0.051471, 2.113128, 0.052762, 3.380955
43776, 155, 50, 0.500000, 0.500000, 10, 100, 0.051767, 2.108459, 0.053050, 3.376141
44032, 155, 50, 0.500000, 0.500000, 10, 100, 0.048512, 2.113957, 0.049654, 3.377895
44288, 155, 50, 0.500000, 0.500000, 10, 100, 0.048971, 2.130428, 0.050082, 3.401257
44544, 155, 50, 0.500000, 0.500000, 10, 100, 0.051617, 2.110566, 0.052871, 3.375023
44800, 155, 50, 0.500000, 0.500000, 10, 100, 0.051621, 2.114299, 0.052861, 3.380134
45056, 155, 50, 0.500000, 0.500000, 10, 100, 0.050314, 2.117088, 0.051597, 3.385578
45312, 155, 50, 0.500000, 0.500000, 10, 100, 0.049375, 2.122504, 0.050558, 3.392152
45568, 155, 50, 0.500000, 0.500000, 10, 100, 0.048188, 2.110124, 0.049383, 3.380023
45824, 155, 50, 0.500000, 0.500000, 10, 100, 0.045519, 2.101354, 0.046674, 3.365319
46080, 155, 50, 0.500000, 0.500000, 10, 100, 0.049435, 2.107501, 0.050621, 3.371918
46336, 155, 50, 0.500000, 0.500000, 10, 100, 0.049232, 2.114355, 0.050586, 3.378154
46592, 155, 50, 0.500000, 0.500000, 10, 100, 0.048295, 2.109185, 0.049497, 3.377143
46848, 155, 50, 0.500000, 0.500000, 10, 100, 0.048562, 2.105258, 0.049851, 3.370875
47104, 155, 50, 0.500000, 0.500000, 10, 100, 0.045802, 2.104387, 0.047074, 3.369894
47360, 155, 50, 0.500000, 0.500000, 10, 100, 0.046943, 2.106000, 0.048139, 3.369254
47616, 155, 50, 0.500000, 0.500000, 10, 100, 0.046949, 2.113215, 0.048195, 3.385011
47872, 155, 50, 0.500000, 0.500000, 10, 100, 0.047890, 2.108556, 0.049193, 3.377507
48128, 155, 50, 0.500000, 0.500000, 10, 100, 0.045294, 2.121946, 0.046569, 3.389709
48384, 155, 50, 0.500000, 0.500000, 10, 100, 0.048487, 2.104880, 0.049685, 3.369398
48640, 155, 50, 0.500000, 0.500000, 10, 100, 0.046226, 2.116144, 0.047474, 3.384480
48896, 155, 50, 0.500000, 0.500000, 10, 100, 0.046794, 2.111868, 0.048011, 3.381017
49152, 155, 50, 0.500000, 0.500000, 10, 100, 0.045238, 2.118696, 0.046557, 3.390189
49408, 155, 50, 0.500000, 0.500000, 10, 100, 0.046414, 2.112659, 0.047691, 3.377845
49664, 155, 50, 0.500000, 0.500000, 10, 100, 0.045132, 2.114908, 0.046277, 3.381385
49920, 155, 50, 0.500000, 0.500000, 10, 100, 0.045833, 2.115369, 0.046958, 3.381117
50176, 155, 50, 0.500000, 0.500000, 10, 100, 0.044938, 2.107809, 0.046131, 3.375726
50432, 155, 50, 0.500000, 0.500000, 10, 100, 0.045546, 2.108663, 0.046740, 3.369361
50688, 155, 50, 0.500000, 0.500000, 10, 100, 0.044063, 2.098858, 0.045353, 3.366251
50944, 155, 50, 0.500000, 0.500000, 10, 100, 0.045125, 2.112783, 0.046337, 3.382053
51200, 155, 50, 0.500000, 0.500000, 10, 100, 0.043121, 2.133900, 0.044398, 3.403519
